city,entropy,rel_entropy,circuity,avg_degree,intersection_count
"Beloit, WI 53511, USA",2.862697895,0.548634942,1.045692094,5.697607152,3299
"Clackamas County, OR, USA",3.456129472,0.112967279,1.075181361,4.912621359,4785
"Santa Maria, CA, USA",3.136545701,0.365704646,1.138223512,5.159494855,6602
"Duarte, CA, USA",2.735804648,0.622874011,1.079698921,4.667481663,623
"Portland, OR, USA",3.106118059,0.387563403,1.123559464,5.019576219,88533
"Monterey Park, CA, USA",3.197953607,0.320422844,1.045448999,5.226812159,1061
"Cumberland County, ME, USA",3.57007677,0.012628873,1.083864002,4.694823131,7600
"Mountain View, CA, USA",3.311089076,0.232910067,1.073083788,4.671015843,941
"Eagle County, CO, USA",3.55685431,0.024547828,1.252179947,4.61026616,2928
"Middlesex County, CT, USA",3.545075797,0.035104231,1.088419064,4.831824311,7613
"Rocky Mount, NC, USA",3.471866351,0.099429783,1.046477843,5.0209296,2813
"Mugello, 50032 Borgo San Lorenzo FI, Italy",3.535787821,0.043388009,1.235802905,4.201068358,19404
"Nevada County, CA, USA",3.525208444,0.052780059,1.143571714,4.545289581,4201
"Dallas County, TX, USA",3.254716632,0.277177728,1.060201395,5.102226261,15070
"Madrid, Spain",3.571388573,0.011442444,1.053426822,4.024236579,59563
"Niagara Regional Municipality, ON, Canada",3.007034825,0.456087157,1.057284609,5.491074245,13632
"Marche, Italy",3.580633614,0.00306079,1.193148365,4.562280511,161780
"Florence, Italy",3.494772962,0.079541372,1.111280731,4.094577096,16412
"Stanford, CA, USA",3.442823829,0.124333341,1.089901246,4.86038961,10595
"Helsinki, Finland",3.581843257,0.001961496,1.110663013,4.478355854,50792
"North Karelia, Finland",3.576637647,0.006687918,1.132408493,4.729684909,11893
"Joensuu, Finland",3.566779136,0.015608192,1.1099348,4.664689601,3454
"Turku, Finland",3.577630188,0.005787608,1.113094253,4.672012725,19539
"Jyväskylä, Finland",3.578298066,0.005181563,1.116013937,4.403143093,7744
"Tampere, Finland",3.579106048,0.004448138,1.117506346,4.486964585,18316
"Warsaw, Poland",3.564813201,0.017382217,1.044257033,4.834144201,40227
"Valencia, Spain",3.506520472,0.069257462,1.050164502,3.918767676,15471
"Painesville Township, OH, USA",3.198793454,0.319792726,1.05693415,5.276372315,13850
"Sitka, AK, USA",3.539468278,0.040109748,1.222147974,4.598540146,272
"Sudbury, ON, Canada",3.157628254,0.350334478,1.102338104,5.073828796,3120
"Lodi, CA, USA",2.372732212,0.798468362,1.074632262,5.560747664,1303
"San Luis Obispo, CA, USA",3.359798555,0.193600449,1.110259217,5.03644705,11658
"Long Beach, CA, USA",2.633396063,0.677927709,1.040249299,5.355854314,17559
"San Sebastián, Gipuzkoa, Spain",3.56097732,0.020839041,1.168515268,3.799716914,2433
"Livermore, CA, USA",3.493090537,0.08100951,1.108470709,4.597774245,13957
"Pompano Beach, FL, USA",2.739888131,0.620588766,1.097926792,5.098984511,65445
"Juneau, AK, USA",3.424358048,0.139985906,1.082245538,4.844995571,823
"British Columbia, Canada",3.198984103,0.319649645,1.14444478,4.851526558,83010
"Thousand Oaks, CA, USA",3.471627727,0.099635822,1.116702429,4.594413408,7864
"Birmingham, AL, USA",3.39133686,0.167624484,1.07047916,5.174991505,24877
"Pinole, CA, USA",3.555229865,0.026007139,1.084778481,5.126237752,15776
"Massachusetts, USA",3.556468833,0.024894218,1.081607447,5.097453209,570916
"El Dorado County, CA, USA",3.345180368,0.2055008,1.104259451,4.883293224,28835
"Palo Verde Valley, California 92266, USA",2.898577167,0.526434883,1.08563114,4.99567867,14103
"Skamania County, WA, USA",3.217453471,0.305717205,1.116643361,4.624108771,4001
"Los Angeles, CA, USA",3.201599165,0.317685544,1.075040325,5.099047511,283035
"Malheur County, OR, USA",2.658591012,0.664785862,1.074866456,5.521212121,1056
"Petaluma, CA, USA",3.34674845,0.204228493,1.092622828,5.112662942,1644
"Montgomery, AL, USA",3.184453162,0.330511861,1.073676179,5.152744381,7467
"Lynchburg, VA, USA",3.531712857,0.047011125,1.084372319,4.938891521,3168
"Terre Haute, IN, USA",2.316099285,0.820938077,1.056663091,5.778608826,3477
"Bozeman, MT, USA",2.823661553,0.572183095,1.09413019,5.283768445,2843
"Bullhead City, AZ, USA",3.271725154,0.263960008,1.069049448,5.404494382,1403
"Bloomington, IL, USA",2.571746289,0.708976425,1.090753112,5.3917603,3445
"Janesville, WI, USA",2.888605336,0.532658361,1.04633128,5.640155189,3583
"Solano County, CA, USA",3.537565604,0.041805201,1.086601872,4.938436042,25332
"Turin, Italy",3.575590105,0.007637677,1.158263028,4.539463064,96088
"Monroe County, PA, USA",3.56850013,0.014053884,1.111666168,4.86562942,7675
"Varese VA, Italy",3.582291206,0.001554258,1.137551635,4.41068843,11140
"Bilbao, Biscay, Spain",3.580101504,0.003544166,1.197859355,4.249279143,24084
"Durham, ON, Canada",3.077496915,0.407774581,1.092135361,5.304595923,24890
"Mississauga, ON, Canada",3.31433729,0.230319253,1.143439105,4.973746232,15681
"Belo Horizonte, Belo Horizonte - State of Minas Gerais, Brazil",3.567880227,0.014613888,1.026238075,5.323898871,17667
"Druskininkai, Lithuania",3.531760347,0.046968941,1.08190808,5.011494253,458
"Panevėžys, Lithuania",3.372134916,0.183488856,1.045062925,5.190322581,995
"Klaipėda, Lithuania",3.546705566,0.033646987,1.064976354,4.689170183,5090
"Kaunas, Lithuania",3.570513728,0.012233756,1.06266879,4.755248697,5380
"Vilnius, Lithuania",3.561228477,0.02061289,1.067594477,4.818181818,7291
"Fairbanks, AK, USA",3.106646687,0.387186916,1.080100818,4.890534321,3625
"Wilmington, NC, USA",3.537868209,0.041535652,1.06930009,4.903537892,7562
"Johnson County, KS, USA",3.133472905,0.367929495,1.060925369,4.708860759,4306
"Szeged, Hungary",3.53842153,0.04104268,1.033896365,5.233755274,3015
"12100 Cuneo CN, Italy",3.576878052,0.006469891,1.195353603,4.530831189,93143
"El Paso, TX, USA",3.454310023,0.11452583,1.048019642,5.548195683,52913
"Colorado, USA",3.540096567,0.039549557,1.228667322,4.766763848,491
"Brecksville, OH 44141, USA",3.239971453,0.288539638,1.080753084,5.135108481,3166
"Boston, MA, USA",3.574047053,0.009035862,1.087886925,5.069685473,194951
"West Palm Beach, FL, USA",2.910049038,0.519224303,1.112995615,4.858927075,37059
"Oakville, ON, Canada",3.187972216,0.327889307,1.159000624,5.372511546,5756
"Trento, Italy",3.564200365,0.017934901,1.205877105,4.3894081,5749
"Canby, OR 97013, USA",3.356345564,0.196419435,1.067307339,4.939882323,2908
"Longview, WA, USA",3.449271993,0.118834287,1.063388324,5.438190426,1502
"Merced, CA, USA",2.825306707,0.571203411,1.050095432,5.287557992,8997
"Waukesha, WI, USA",2.907592649,0.520772836,1.052564524,5.163663228,32529
"Palos Verdes Peninsula, CA, USA",3.33712549,0.2120203,1.094679527,5.059807612,3718
"Bishop, CA 93514, USA",2.88713069,0.533575202,1.100371017,5.190019464,88095
"Escalon, CA 95320, USA",2.599765981,0.695059895,1.080084646,5.009855951,987
"Big Bear, CA, USA",3.052913205,0.42486394,1.099211319,5.441135504,11924
"Crescent City, CA, USA",3.360603257,0.19294279,1.11887812,4.75739868,3523
"Lower Lake, CA, USA",3.45702417,0.112200372,1.192603156,4.877924877,8959
"Nancy, France",3.5490065,0.031587753,1.079086072,4.403012132,5932
"Toulouse, France",3.573614646,0.009427497,1.101823095,4.518821724,33411
"Grenoble, France",3.579042607,0.004505735,1.13712571,4.458214431,11108
"Charlottetown, PE, Canada",3.282977442,0.255149769,1.097862854,5.372093023,1070
"Mason County, WA, USA",3.251432456,0.279716143,1.119217272,4.72299547,12246
"Harrisonburg, VA, USA",3.493002724,0.081086107,1.075826,5.084677419,1126
"Shizuoka Prefecture, Japan",3.559722391,0.021968637,1.141540992,5.651435452,13500
"Szczecin, Poland",3.570402533,0.012334311,1.066402605,4.537077364,6719
"Huntsville, AL, USA",3.114694644,0.381440905,1.074636102,5.10585122,5739
"Maryland, USA",3.570345885,0.012385537,1.088738491,4.736940927,223895
"Ocean City, MD, USA",2.796863419,0.587983536,1.05778874,4.452709883,690
"Harford County, MD, USA",3.569030918,0.013574258,1.091455756,4.74399663,5329
"Cecil County, MD, USA",3.537828759,0.041570795,1.085664434,4.634256133,3200
"Carroll County, MD, USA",3.55004746,0.030655421,1.080795628,4.737922189,3235
"Baltimore, MD, USA",3.381725292,0.175584504,1.134430258,3.493333333,65
"Annapolis, MD, USA",3.553580388,0.027487819,1.087197475,4.693430657,2421
"Vermont, USA",3.56184102,0.020061222,1.090460049,4.852703278,83690
"Rutland, VT, USA",3.526239949,0.051866359,1.088338701,4.696515117,5827
"Orange County, VT, USA",3.567445215,0.015006771,1.091289881,4.641956895,8932
"Bennington, VT 05201, USA",3.538811288,0.040695355,1.122438189,4.649069055,2879
"Wilmington, VT, USA",3.547418527,0.033009153,1.108433279,4.657950745,2231
"Town of Rockingham, VT, USA",3.560180107,0.02155671,1.095083223,4.745385021,10542
"Chittenden County, VT, USA",3.560346019,0.021407374,1.087713025,4.741116751,17495
"Hartford, VT, USA",3.553456327,0.027599139,1.101476054,4.722969838,1579
"Addison County, VT, USA",3.477615809,0.094458298,1.090345692,4.855231991,5151
"Jackson, MS, USA",3.06450152,0.416839497,1.067468423,5.290750618,6471
"Pensacola, FL, USA",3.265921649,0.268483507,1.07644192,5.130381379,12692
"Okaloosa County, FL, USA",3.205968977,0.314397182,1.091834137,4.999544211,6887
"Ocala, FL, USA",3.005093623,0.457389057,1.062850405,5.308754448,5719
"Brooksville, FL, USA",3.256302298,0.275950532,1.064605127,5.289302326,7850
"Citrus County, FL, USA",2.956465243,0.489493493,1.082015732,5.159947192,7719
