Region,iso3,Country,City/Town,Year,"Annual mean, ug/m3",Temporal coverage,note on converted PM2.5,Number and type of monitoring stations,Reference for air quality,Database version (year),status
Europe (LMIC),ALB,Albania,Tirana,2013,16,NA,Measured,"1 station, traffic, urban","European Environment Agency, Air quality e-reporting database",2016,
Europe (LMIC),ALB,Albania,Vrith,2015,13,>75%,Measured,1 Urban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),AND,Andorra,Escaldes-Engordany,2017,10,NA,Measured,,"Govern D'Andorra, Ministeri de Medi Ambient, Agricultura i Sostenibilitat",2018,
Western Pacific (HIC),AUS,Australia,Adelaide,2016,7,>75%,Measured,"5 Residential, 2 Residential/Industry",EPA South Australia,2018,
Western Pacific (HIC),AUS,Australia,Brisbane,2016,7,>75%,Measured,7 N.A.,Queensland Government Data,2018,
Western Pacific (HIC),AUS,Australia,Bunbury,2016,8,>75%,Measured,2 N.A.,2016 Western Australia air monitoring report (June 2017),2018,
Western Pacific (HIC),AUS,Australia,Busselton,2016,8,>75%,Measured,2 N.A.,2016 Western Australia air monitoring report (June 2017),2018,
Western Pacific (HIC),AUS,Australia,Canberra,2014,7,NA,Measured,NA,ACT Air Quality Reports,2018,
Western Pacific (HIC),AUS,Australia,Central Coast,2014,6,NA,Measured,-,http://www.environment.nsw.gov.au/resources/aqms/150004nswairqual14.pdf,2016,
Western Pacific (HIC),AUS,Australia,Darwin,2016,6,>75%,Measured,1 Urban,NT-EPA,2018,
Western Pacific (HIC),AUS,Australia,Devonport,2013,6,NA,Measured,-,Environment Protection Authority,2016,
Western Pacific (HIC),AUS,Australia,Gladstone,2016,5,>75%,Measured,5 N.A.,Queensland Government Data,2018,
Western Pacific (HIC),AUS,Australia,Hobart,2013,6,NA,Measured,-,Environment Protection Authority,2016,
Western Pacific (HIC),AUS,Australia,Jondaryan,2016,5,50% -< 75%,Measured,1 N.A.,Queensland Government Data,2018,
Western Pacific (HIC),AUS,Australia,La Trobe Valley,2014,10,NA,Measured,"2 stations, residential, rural",http://www.epa.vic.gov.au/our-work/monitoring-the-environment/monitoring-victorias-air/monitoring-results/~/media/Files/Our%20work/Monitoring%20the%20environment/Monitoring%20Vics%20air/monitoring%20results/2013-data-tables.pdf,2016,
Western Pacific (HIC),AUS,Australia,Launceston,2013,8,NA,Measured,-,Environment Protection Authority,2016,
Western Pacific (HIC),AUS,Australia,Lower Hunter,2014,7,NA,Measured,-,http://www.environment.nsw.gov.au/resources/aqms/150004nswairqual14.pdf,2016,
Western Pacific (HIC),AUS,Australia,Melbourne,2014,8,NA,Measured,"10 stations, Residential/Light Industry",http://www.epa.vic.gov.au/our-work/monitoring-the-environment/monitoring-victorias-air/monitoring-results/~/media/Files/Our%20work/Monitoring%20the%20environment/Monitoring%20Vics%20air/monitoring%20results/2013-data-tables.pdf,2016,
Western Pacific (HIC),AUS,Australia,Muswellbrook,2016,8,>75%,Measured,1 Population Centre,Office of Environment and Heritage NSW Government,2018,
Western Pacific (HIC),AUS,Australia,Newcastle,2016,8,>75%,Measured,"2 Campaign Site, 3 Non Nepm Site, 1 Trend Site",Office of Environment and Heritage NSW Government,2018,
Western Pacific (HIC),AUS,Australia,Palmerston,2016,7,>75%,Measured,1 Sub-Urban,,2018,
Western Pacific (HIC),AUS,Australia,Perth,2016,8,>75%,Measured,8 N.A.,2016 Western Australia air monitoring report (June 2017),2018,
Western Pacific (HIC),AUS,Australia,Singleton,2016,8,>75%,Measured,1 Population Centre,Office of Environment and Heritage NSW Government,2018,
Western Pacific (HIC),AUS,Australia,Sydney,2016,8,>75%,Measured,"2 Campaign Site, 4 Non Nepm Site, 3 Peformance Site, 1 Tend Site, 5 Trend Site",Office of Environment and Heritage NSW Government,2018,
Western Pacific (HIC),AUS,Australia,Upper Hunter,2014,8,NA,Measured,-,http://www.environment.nsw.gov.au/resources/aqms/150004nswairqual14.pdf,2016,
Western Pacific (HIC),AUS,Australia,Wagga Wagga,2016,7,>75%,Measured,1 Campaign Site,Office of Environment and Heritage NSW Government,2018,
Western Pacific (HIC),AUS,Australia,Wollongong,2016,7,>75%,Measured,"2 Peformance Site, 1 Trend Site",Office of Environment and Heritage NSW Government,2018,
Western Pacific (HIC),AUS,Australia,Wynnum,2016,4,>75%,Measured,2 N.A.,Queensland Government Data,2018,
Western Pacific (HIC),AUS,Australia,Wyong,2016,6,>75%,Measured,1 Peformance Site,Office of Environment and Heritage NSW Government,2018,
Europe (HIC),AUT,Austria,Bad Ischl,2013,12,NA,Measured,-,"European Environment Agency, Air quality e-reporting database",2016,
Europe (HIC),AUT,Austria,Braunau Am Inn,2016,12,>75%,Measured,2 Suburban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),AUT,Austria,Brixlegg,2016,11,>75%,Measured,3 Rural-Industrial,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),AUT,Austria,Burgfried,2016,12,>75%,Measured,2 Urban-Traffic,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),AUT,Austria,Dornbirn,2016,11,>75%,Measured,1 Suburban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),AUT,Austria,Durnrohr,2016,13,>75%,Measured,1 Rural-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),AUT,Austria,Eisenstadt,2016,13,>75%,Measured,2 Suburban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),AUT,Austria,Enns,2015,14,>75%,Measured,2 Rural-Near_city-Traffic,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),AUT,Austria,Freistadt,2016,9,>75%,Measured,1 Rural-Regional-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),AUT,Austria,Glinzendorf,2014,13,>75%,Measured,1 N.A.,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),AUT,Austria,Gmunden,2016,9,>75%,Measured,2 Suburban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),AUT,Austria,Graz,2016,17,>75%,Measured,"4 Suburban-Background, 1 Suburban-Traffic, 3 Urban-Background, 2 Urban-Traffic",The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),AUT,Austria,Grosesnserndorf,2016,11,>75%,Measured,1 Rural-Regional-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),AUT,Austria,Grossenzersdorf,2013,18,NA,Measured,-,"European Environment Agency, Air quality e-reporting database",2016,
Europe (HIC),AUT,Austria,Hallein,2016,12,>75%,Measured,"1 Rural-Regional-Traffic, 2 Urban-Traffic",The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),AUT,Austria,Haselbach,2016,12,>75%,Measured,2 Suburban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),AUT,Austria,Hollabrunn,2014,15,>75%,Measured,"1 N.A., 1 Rural-Regional-Background",The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),AUT,Austria,Illmitz,2016,13,>75%,Measured,3 Rural-Regional-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),AUT,Austria,Innsbruck,2016,11,>75%,Measured,4 Urban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),AUT,Austria,Klagenfurt,2013,14,NA,Measured,"2 stations, traffic, urban","European Environment Agency, Air quality e-reporting database",2016,
Europe (HIC),AUT,Austria,Klagenfurt Am Worthersee,2016,13,>75%,Measured,"1 Urban-Background, 1 Urban-Traffic",The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),AUT,Austria,Kriegen,2016,10,>75%,Measured,1 Rural-Regional-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),AUT,Austria,Leibnitz,2016,15,>75%,Measured,"1 Rural-Background, 1 Suburban-Background",The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),AUT,Austria,Lenzing,2016,12,>75%,Measured,1 Rural-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),AUT,Austria,Lienz,2016,11,>75%,Measured,3 Urban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),AUT,Austria,Linz,2016,15,>75%,Measured,"1 Suburban-Industrial, 3 Urban-Background, 3 Urban-Industrial, 3 Urban-Traffic",The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),AUT,Austria,Lustenau,2016,11,>75%,Measured,"1 Suburban-Background, 1 Urban-Traffic",The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),AUT,Austria,Reding,2014,16,>75%,Measured,1 N.A.,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),AUT,Austria,Reichraming,2016,5,>75%,Measured,2 Rural-Remote-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),AUT,Austria,Salzburg,2016,10,>75%,Measured,3 Urban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),AUT,Austria,Sankt Poelten,2013,18,NA,Measured,"1 station, background, suburban","European Environment Agency, Air quality e-reporting database",2016,
Europe (HIC),AUT,Austria,Sankt Polten,2016,13,>75%,Measured,"2 Urban-Background, 1 Urban-Traffic",The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),AUT,Austria,Sankt Valentin,2016,14,>75%,Measured,1 Suburban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),AUT,Austria,Schondorf,2016,12,>75%,Measured,2 Suburban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),AUT,Austria,Schwechat,2016,13,>75%,Measured,3 Suburban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),AUT,Austria,Steyr,2016,11,>75%,Measured,2 Suburban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),AUT,Austria,Steyregg,2016,14,>75%,Measured,2 Suburban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),AUT,Austria,Traun,2016,14,>75%,Measured,2 Suburban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),AUT,Austria,Tulln,2014,14,>75%,Measured,2 N.A.,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),AUT,Austria,Vocklabruck,2013,15,NA,Measured,-,"European Environment Agency, Air quality e-reporting database",2016,
Europe (HIC),AUT,Austria,Voitsberg,2016,13,>75%,Measured,1 Urban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),AUT,Austria,Weiz,2016,11,>75%,Measured,1 Suburban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),AUT,Austria,Wels,2016,14,>75%,Measured,2 Suburban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),AUT,Austria,Wien,2016,14,>75%,Measured,"7 Suburban-Background, 1 Suburban-Traffic, 13 Urban-Background, 3 Urban-Traffic",The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),AUT,Austria,Wien-Umgebung,2014,15,>75%,Measured,1 N.A.,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),AUT,Austria,Wiener Neudorf,2016,13,>75%,Measured,1 Suburban-Traffic,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),AUT,Austria,Wolfsberg,2016,16,>75%,Measured,1 Urban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),BEL,Belgium,Aarschot,2016,13,>75%,Measured,1 Suburban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),BEL,Belgium,Andenne,2016,10,>75%,Measured,1 Rural-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),BEL,Belgium,Antwerpen,2016,14,>75%,Measured,"3 Suburban-Background, 2 Suburban-Industrial, 3 Urban-Background, 1 Urban-Industrial, 3 Urban-Traffic",The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),BEL,Belgium,Baelen,2016,9,>75%,Measured,1 Suburban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),BEL,Belgium,Berchem-Sainte-Agathe,2016,12,>75%,Measured,1 Suburban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),BEL,Belgium,Bertrix,2016,8,>75%,Measured,1 Rural-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),BEL,Belgium,Beveren,2016,15,>75%,Measured,3 Suburban-Industrial,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),BEL,Belgium,Boom,2016,13,>75%,Measured,1 Suburban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),BEL,Belgium,Brugge,2016,13,>75%,Measured,1 Urban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),BEL,Belgium,Brussels,2013,18,NA,Measured,"6 stations, background, suburban","European Environment Agency, Air quality e-reporting database",2016,
Europe (HIC),BEL,Belgium,Bruxelles,2016,16,>75%,Measured,"1 Suburban-Background, 1 Suburban-Industrial",The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),BEL,Belgium,Charleroi,2016,13,>75%,Measured,"2 Suburban-Background, 1 Suburban-Industrial, 1 Urban-Background",The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),BEL,Belgium,Chatelet,2016,12,>75%,Measured,1 Suburban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),BEL,Belgium,Chaumont-Gistoux,2016,11,>75%,Measured,1 Rural-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),BEL,Belgium,Corroy Le Grand,2013,15,NA,Measured,"1 station, background, rural","European Environment Agency, Air quality e-reporting database",2016,
Europe (HIC),BEL,Belgium,Damme,2016,12,>75%,Measured,1 Rural-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),BEL,Belgium,Dessel,2016,12,>75%,Measured,2 Rural-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),BEL,Belgium,Destelbergen,2016,14,>75%,Measured,1 Suburban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),BEL,Belgium,Diepenbeek,2016,14,>75%,Measured,1 Urban-Industrial,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),BEL,Belgium,Engis,2016,13,>75%,Measured,1 Suburban-Industrial,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),BEL,Belgium,Evergem,2016,14,>75%,Measured,1 Suburban-Industrial,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),BEL,Belgium,Gent,2016,15,>75%,Measured,"1 Rural-Industrial, 2 Urban-Background, 1 Urban-Traffic",The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),BEL,Belgium,Habay,2016,8,>75%,Measured,1 Rural-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),BEL,Belgium,Habay La Neuve,2013,11,NA,Measured,"1 station, background, rural","European Environment Agency, Air quality e-reporting database",2016,
Europe (HIC),BEL,Belgium,Hasselt,2016,13,>75%,Measured,1 Suburban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),BEL,Belgium,Herstal,2016,11,>75%,Measured,1 Urban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),BEL,Belgium,Hoevenen,2013,18,NA,Measured,"1 station, industrial, suburban","European Environment Agency, Air quality e-reporting database",2016,
Europe (HIC),BEL,Belgium,Landen,2016,13,>75%,Measured,1 Rural-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),BEL,Belgium,Liege,2016,11,>75%,Measured,2 Suburban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),BEL,Belgium,Mechelen,2016,14,>75%,Measured,1 Suburban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),BEL,Belgium,Menen,2016,15,>75%,Measured,1 Suburban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),BEL,Belgium,Molenbeek-Saint-Jean,2016,16,>75%,Measured,1 Urban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),BEL,Belgium,Mons,2016,13,>75%,Measured,1 Suburban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),BEL,Belgium,Oostrozebeke,2016,17,>75%,Measured,1 Rural-Industrial,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),BEL,Belgium,Retie,2013,15,NA,Measured,-,"European Environment Agency, Air quality e-reporting database",2016,
Europe (HIC),BEL,Belgium,Roeselare,2016,15,>75%,Measured,"1 Suburban-Background, 1 Suburban-Industrial",The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),BEL,Belgium,Saint-Nicolas,2016,10,>75%,Measured,1 Suburban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),BEL,Belgium,Sainte-Ode,2016,7,>75%,Measured,1 Rural-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),BEL,Belgium,Schoten,2016,14,>75%,Measured,2 Suburban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),BEL,Belgium,Seraing,2016,13,>75%,Measured,1 Suburban-Industrial,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),BEL,Belgium,Somme-Leuze,2016,8,>75%,Measured,1 Rural-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),BEL,Belgium,Stabroek,2016,15,>75%,Measured,1 Suburban-Industrial,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),BEL,Belgium,Steenokkerzeel,2016,13,>75%,Measured,1 Suburban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),BEL,Belgium,Tournai,2016,12,>75%,Measured,1 Rural-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),BEL,Belgium,Uccle,2016,13,>75%,Measured,1 Suburban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),BEL,Belgium,Veurne,2016,12,>75%,Measured,1 Rural-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),BEL,Belgium,Vielsalm,2016,5,>75%,Measured,1 Rural-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),BEL,Belgium,Vilvoorde,2016,14,>75%,Measured,1 Suburban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),BEL,Belgium,Viroinval,2016,8,>75%,Measured,1 Rural-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),BEL,Belgium,Wielsbeke,2016,15,>75%,Measured,1 Rural-Near_city-Industrial,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),BEL,Belgium,Zelzate,2016,15,>75%,Measured,1 Suburban-Industrial,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),BEL,Belgium,Zwevegem,2016,15,>75%,Measured,1 Suburban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),BEL,Belgium,Zwijndrecht,2016,14,>75%,Measured,1 Suburban-Industrial,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
South-East Asia (LMIC),BGD,Bangladesh,Barisal,2015,80,>75%,Measured,1 Urban,"Ministry of Environment and Forest, Clean air and sustainable Environment",2018,
South-East Asia (LMIC),BGD,Bangladesh,Chittagong,2015,66,50% -< 75%,Measured,2 Urban,"Ministry of Environment and Forest, Clean air and sustainable Environment",2018,
South-East Asia (LMIC),BGD,Bangladesh,Dhaka,2016,57,>75%,Measured,1 Urban,AirNow DOS,2018,
South-East Asia (LMIC),BGD,Bangladesh,Gazipur,2015,81,>75%,Measured,1 Urban,"Ministry of Environment and Forest, Clean air and sustainable Environment",2018,
South-East Asia (LMIC),BGD,Bangladesh,Khulna,2015,84,50% -< 75%,Measured,1 Urban,"Ministry of Environment and Forest, Clean air and sustainable Environment",2018,
South-East Asia (LMIC),BGD,Bangladesh,Narayangonj,2015,94,>75%,Measured,1 Urban,"Ministry of Environment and Forest, Clean air and sustainable Environment",2018,
South-East Asia (LMIC),BGD,Bangladesh,Rajshahi,2015,47,>75%,Measured,1 Urban,"Ministry of Environment and Forest, Clean air and sustainable Environment",2018,
South-East Asia (LMIC),BGD,Bangladesh,Sylhet,2015,61,>75%,Measured,1 Urban,"Ministry of Environment and Forest, Clean air and sustainable Environment",2018,
Europe (LMIC),BGR,Bulgaria,Pernik,2014,29,>75%,Measured,"1 Suburban-Background, 1 Urban-Traffic",The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (LMIC),BGR,Bulgaria,Plovdiv,2015,29,>75%,Measured,"1 Suburban-Background, 1 Urban-Background",The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (LMIC),BGR,Bulgaria,Progled,2014,6,>75%,Measured,2 Rural-Remote-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (LMIC),BGR,Bulgaria,Ruse,2015,27,>75%,Measured,1 Urban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (LMIC),BGR,Bulgaria,Sofia,2015,25,>75%,Measured,"1 Rural-Near_city-Background, 3 Urban-Background, 1 Urban-Traffic",The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (LMIC),BGR,Bulgaria,Stara Zagora,2016,18,>75%,Measured,"1 Urban-Background, 1 Urban-Traffic",The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (LMIC),BGR,Bulgaria,Varna,2014,17,>75%,Measured,2 Urban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (LMIC),BGR,Bulgaria,Veliko Tarnovo,2016,20,>75%,Measured,1 Suburban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Eastern Mediterranean (HIC),BHR,Bahrain,Hamad Town,2012,66,NA,Measured,"1 station, 1 Residential urban station","Supreme Council of Environment, 2013.",2016,
Eastern Mediterranean (HIC),BHR,Bahrain,Hidd,2012,41,NA,Measured,"1 station, 1 Residential urban station","Supreme Council of Environment, 2013.",2016,
Eastern Mediterranean (HIC),BHR,Bahrain,Ma'ameer,2012,64,NA,Measured,"1 station, 1 Residential Industrial station (Mixed)","Supreme Council of Environment, 2013.",2016,
Eastern Mediterranean (HIC),BHR,Bahrain,Manama,2016,63,50% -< 75%,Measured,1 Urban,AirNow DOS,2018,
Eastern Mediterranean (HIC),BHR,Bahrain,Nabih Saleh,2012,58,NA,Measured,"1 station, 1 Urban background station","Supreme Council of Environment, 2013.",2016,
Eastern Mediterranean (HIC),BHR,Bahrain,Ras Hayan,2012,44,NA,Measured,"1 station, 1 Rural background station","Supreme Council of Environment, 2013.",2016,
Europe (LMIC),BIH,Bosnia and Herzegovina,Gorazde,2016,29,>75%,Measured,1 Suburban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (LMIC),BIH,Bosnia and Herzegovina,Lukavac,2016,64,>75%,Measured,1 Urban-Industrial,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (LMIC),BIH,Bosnia and Herzegovina,Tuzla,2010,65,NA,Measured,-,"European Environment Agency, Air quality e-reporting database",2016,
Americas (LMIC),BRA,Brazil,Campos,2014,12,NA,Measured,-,"Plataforma da Qualidade do Ar, Instituto de energie e meio ambiente",2016,
Americas (LMIC),BRA,Brazil,Campos Dos Goitacazes,2015,9,NA,Measured,1 Urban,"Instituto de Energia e meio Ambiente, Plataforma da Qualidade do Ar",2018,
Americas (LMIC),BRA,Brazil,Duque De Caxias,2015,16,NA,Measured,6 Urban,"Instituto de Energia e meio Ambiente, Plataforma da Qualidade do Ar",2018,
Americas (LMIC),BRA,Brazil,Itaborai,2015,8,NA,Measured,2 Urban,"Instituto de Energia e meio Ambiente, Plataforma da Qualidade do Ar",2018,
Americas (LMIC),BRA,Brazil,Niteroi,2015,9,NA,Measured,2 Urban,"Instituto de Energia e meio Ambiente, Plataforma da Qualidade do Ar",2018,
Americas (LMIC),BRA,Brazil,Piracicaba,2016,13,NA,Measured,1 Urban,"Instituto de Energia e meio Ambiente, Plataforma da Qualidade do Ar",2018,
Americas (LMIC),BRA,Brazil,Resende,2015,9,NA,Measured,5 Urban,"Instituto de Energia e meio Ambiente, Plataforma da Qualidade do Ar",2018,
Americas (LMIC),BRA,Brazil,Rio De Janeiro,2015,11,NA,Measured,17 Urban,"Instituto de Energia e meio Ambiente, Plataforma da Qualidade do Ar",2018,
Americas (LMIC),BRA,Brazil,Santos,2016,15,NA,Measured,2 Urban,"Instituto de Energia e meio Ambiente, Plataforma da Qualidade do Ar",2018,
Americas (LMIC),BRA,Brazil,Sao Bernardo Do Campo,2016,17,NA,Measured,1 Urban,"Instituto de Energia e meio Ambiente, Plataforma da Qualidade do Ar",2018,
Americas (LMIC),BRA,Brazil,Sao Caetano Do Sul,2016,17,NA,Measured,1 Urban,"Instituto de Energia e meio Ambiente, Plataforma da Qualidade do Ar",2018,
Americas (LMIC),BRA,Brazil,Sao Joao De Meriti,2015,12,NA,Measured,1 Urban,"Instituto de Energia e meio Ambiente, Plataforma da Qualidade do Ar",2018,
Americas (LMIC),BRA,Brazil,Sao Jose Do Rio Preto,2016,15,NA,Measured,2 Urban,"Instituto de Energia e meio Ambiente, Plataforma da Qualidade do Ar",2018,
Americas (LMIC),BRA,Brazil,Sao Paulo,2016,17,NA,Measured,14 Urban,"Instituto de Energia e meio Ambiente, Plataforma da Qualidade do Ar",2018,
Americas (LMIC),BRA,Brazil,Seropedica,2014,15,NA,Measured,1 Urban,"Instituto de Energia e meio Ambiente, Plataforma da Qualidade do Ar",2018,
Americas (LMIC),BRA,Brazil,Volta Redonda,2014,14,NA,Measured,9 Urban,"Instituto de Energia e meio Ambiente, Plataforma da Qualidade do Ar",2018,
Americas (HIC),CAN,Canada,Abbotsford,2015,7,>75%,Measured,"1 Agricultural, 1 Residential",British Columbia Ministry of Environment & Climate Change Strategy,2018,
Americas (HIC),CAN,Canada,Agassiz,2015,6,>75%,Measured,1 Residential,"Metro Vancouver Parks, Planning & Environment Department",2018,
Americas (HIC),CAN,Canada,Anzac,2015,6,>75%,Measured,1 Residential,Alberta Environment and Parks,2018,
Americas (HIC),CAN,Canada,Auclair,2015,4,>75%,Measured,1 Forested,"Gouvernement du Qu<U+00E9>bec, Minist<U+00E8>re du D<U+00E9>veloppement durable, de l<U+2019>Environnement et de la Lutte contre les changements climatiques",2018,
Americas (HIC),CAN,Canada,Aylesford,2015,6,>75%,Measured,1 Forested,Nova Scotia Environment,2018,
Americas (HIC),CAN,Canada,Barrie,2015,8,>75%,Measured,1 Residential,Ontario Ministry of Environment and Climate Change,2018,
